stat,param,correlation
stat_0,mu,0.0904
stat_1,mu,0.0543
stat_2,mu,-0.0046
stat_3,mu,-0.0133
stat_4,mu,-0.0340
stat_5,mu,-0.0149
stat_6,mu,0.0058
stat_7,mu,-0.0000
stat_8,mu,0.0519
stat_9,mu,-0.0103
stat_10,mu,0.0486
stat_11,mu,-0.0192
stat_0,sigma,-0.1073
stat_1,sigma,0.8843
stat_2,sigma,0.0090
stat_3,sigma,-0.0017
stat_4,sigma,0.7353
stat_5,sigma,-0.0168
stat_6,sigma,0.3711
stat_7,sigma,-0.0071
stat_8,sigma,0.8867
stat_9,sigma,0.0020
stat_10,sigma,0.8327
stat_11,sigma,-0.0137
